Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
F13H10.8; -0.356143952543,Y71H2B.2; 0.0947507691004,D1054.3; 1.52248591012
F14D7.2; -1.44768498284,Y73B6BL.29; -0.00146916935609,D1081.7; 1.12922201737
F14H3.3; -1.30579399475,Y94H6A.8; 0.100365658653,D1081.9; 3.23391515575
F14H3.6; -4.16751160686,Y97E10AR.4; 0.184632634291,D2005.3; 1.33149475596
F15A4.2; -0.871760468749,ZC262.3; -0.0999220205525,D2005.4; 1.00419474963
F15B10.3; -1.27838897925,ZC376.7; -0.0080991008986,D2007.1; 1.25699596583
F15B9.10; -5.61200981878,ZC434.8; 0.0420894165547,D2007.4; 1.42298507098
F17A2.13; -3.27441493016,ZK1067.3; -0.0864397404581,D2023.4; 2.5215974048
F17C11.7; -0.28160312141,ZK1127.3; 0.0927210918348,D2023.6; 2.00603992922
F18A1.8; -0.896100476826,ZK1127.6; -0.186258265012,D2030.2; 0.215993673672
F18A11.3; -1.50976925551,ZK1307.8; -0.0856953921848,D2030.3; 1.53690381407
F19B10.10; -2.68979662659,ZK430.7; -0.13175853148,D2030.4; 0.613054391023
F19B10.2; -3.16836344411,ZK484.1; -0.0392676338037,D2063.3; 1.11558975994
F19F10.11; -0.346554602034,ZK484.3; 0.0488355589264,D2085.5; 0.247599315911
F19F10.12; -0.882174269507,ZK512.2; -0.0729194163458,D2085.6; 1.01401191121
F20D1.1; -0.267463737636,ZK524.4; -0.0133714968046,D2092.5; 0.920717646806
F20D12.2; -0.570687232248,ZK632.7; 0.180003186353,D2096.8; 0.924589957561
F21A10.2; -0.450900163423,ZK643.5; -0.133464055565,DC2.3; 3.4370400594
F21C10.10; -2.43648184429,ZK673.6; -0.0831618220138,DC2.8; 1.66895567951
F21D5.2; -0.544575090821,ZK829.7; -0.0789942768277,E01A2.1; 2.11925408168
F21D5.7; -0.721881086842,ZK856.8; 0.123614717856,E01A2.6; 1.10669161546
F21F3.6; -0.642877921942,ZK863.4; -0.0391367788908,E01B7.2; 0.446338665175
F21H12.1; -0.324627157183,act-1; 0.0328935839767,E02D9.1; 0.851256089942
F21H12.6; -1.06558624928,act-2; 0.0157029539091,E02H1.6; 2.013012395
F22B8.7; -1.62967746787,add-2; -0.125038440278,E04A4.5; 0.247456477215
F22D3.2; -4.03306672638,ahcy-1; -0.192304640234,EEED8.10; 3.00506602319
F23B12.7; -1.41447504321,aldo-2; 0.111661325402,EEED8.15; 0.554671992761
F23C8.9; -1.34085298696,aly-3; 0.0148373682271,EEED8.16; 1.97386783621
F23F1.10; -0.619324528541,apc-11; -0.157368417532,F01D4.5; 2.62838583506
F23F1.9; -0.771165203675,arf-3; 0.0741763239308,F01F1.11; 1.34264431284
F25B3.6; -1.30678581193,art-1; -0.175192365239,F01G4.3; 0.467985184332
F25B4.5; -2.27905579036,arx-1; -0.1904313057,F01G4.6; 0.417387603968
F25B5.2; -0.935017352493,arx-6; 0.129019587629,F02E9.10; 0.604482870305
F25E5.1; -0.601776029343,asb-1; 0.0378308879547,F02E9.1; 2.88337990764
F25H2.2; -2.43445506537,asfl-1; -0.0651481640772,F02E9.9; 0.316317653704
F25H5.5; -0.631414055592,asg-1; 0.158503167621,F07F6.4; 1.9578326769
F25H9.2; -1.81036894521,atp-2; -0.106977628462,F07H5.10; 1.38782442343
F25H9.7; -2.85565164946,atp-3; -0.155324467662,F08B4.7; 0.354206487771
F26B1.2; -0.505161625316,bed-1; 0.0940319883433,F08C6.2; 1.26011928778
F26E4.4; -0.369869153076,bra-2; 0.110121693823,F08F3.6; 0.379621611682
F26F4.5; -1.24459806922,cash-1; -0.130314145584,F08F8.9; 0.977069796658
